sep=;
From#;From Name;To# - Circ#;To Name;Area;Owner;Resistance (pu);Reactance (pu);Line Charg. (pu);Normal Rat.(MVA);Overl. Rat.(MVA);Emerg. Rat.(MVA);ShtF On;GSht From (MW);BSht From (Mvar);ShtT On;GSht To (MW);BSht To (Mvar);Brk From;Brk To;Monitored;R0 (pu);X0 (pu);Type;Name
82;TPRET2-SP345;449    # 04;ITAPET-SP345;204;0;0.00060;0.00630;0.12845;1350.0;1350.0;2533.0;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;0.00180;0.01890;TL;TPRET2-SP345 - ITAPET-S 
82;TPRET2-SP345;464    # 01;LESTE--SP345;204;0;0.00107;0.00928;0.16080;912.0;1103.0;2533.0;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;0.00320;0.02784;TL;TPRET2-SP345 - LESTE--S 
82;TPRET2-SP345;464    # 02;LESTE--SP345;204;0;0.00107;0.00928;0.16080;912.0;1103.0;2533.0;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;0.00320;0.02784;TL;TPRET2-SP345 - LESTE--S 
82;TPRET2-SP345;41821    # 01;TPTBC2-SP345;204;0;0.00001;0.00001;0.00000;9999.0;9999.0;9999.0;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;0.00001;0.00001;SWITCH;TPRET2-SP345 - TPTBC2-S 
82;TPRET2-SP345;41822    # 01;TPTBC3-SP345;204;0;0.00001;0.00001;0.00000;9999.0;9999.0;9999.0;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;0.00001;0.00001;SWITCH;TPRET2-SP345 - TPTBC3-S 
84;RESEN2-RJ138;1780    # 01;RESEND-RJ138;255;0;0.00700;0.01780;0.00454;120.0;120.0;120.0;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;0.02100;0.05340;TL;RESEN2-RJ138 - RESEND-R 
84;RESEN2-RJ138;1780    # 02;RESEND-RJ138;255;0;0.00700;0.01780;0.00454;120.0;120.0;120.0;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;0.02100;0.05340;TL;RESEN2-RJ138 - RESEND-R 
84;RESEN2-RJ138;11797    # 01;NUC-1Y-RJ138;255;0;0.00320;0.00815;0.00208;122.0;130.0;122.0;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;0.00960;0.02445;TL;RESEN2-RJ138 - NUC-1Y-R 
84;RESEN2-RJ138;21797    # 01;NUC-2Y-RJ138;255;0;0.00320;0.00815;0.00208;122.0;130.0;122.0;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;0.00960;0.02445;TL;RESEN2-RJ138 - NUC-2Y-R 
85;FOZ50--PR500;1103    # 03;MARGEM-PR500;241;0;0.00006;0.00101;0.10041;2728.0;3377.0;3377.0;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;0.00017;0.00302;TL;FOZ50--PR500 - MARGEM-P 
