sep=;
From#;From Name;To# - Circ#;To Name;Area;Owner;Type;Resistance (pu);Reactance (pu);Normal Rat.(MVA);Overl. Rat.(MVA);Emerg. Rat.(MVA);Tap (pu);Phase Shift (deg);CBus;CBus Name;Tap or Phs Min;Tap or Phs Max;V or Flow Max;V or Flow Min;ShtF On;GSht From (MW);BSht From (Mvar);ShtT On;GSht To (MW);BSht To (Mvar);Brk From;Brk To;Monitored;Connection;R0;X0;Name
77;TPRETO-SP500;41520   #02;TPRAT2-SP000;202;0;OLTC(ON);0.00000;-0.00162;1650.0;1815.0;1650.0;1.10300;0.00;77;TPRETO-SP500;0.880 pu;1.160 pu;1.098 pu;1.098 pu;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;YnYn;0.00000;-0.00162;TPRETO-SP500 - TPRAT2-S 
78;TPRETO-SP345;81   #04;TPRET4-SP000;204;0;OLTC(ON);0.00000;-0.00107;1500.0;1650.0;715.0;1.05300;0.00;78;TPRETO-SP345;0.859 pu;1.115 pu;1.035 pu;1.035 pu;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;YnYn;0.00000;-0.00107;TPRETO-SP345 - TPRET4-S 
78;TPRETO-SP345;41512   #05;TPRAT5-SP000;204;0;OLTC(ON);0.00000;-0.00093;1500.0;1650.0;1500.0;1.05300;0.00;78;TPRETO-SP345;0.859 pu;1.115 pu;1.035 pu;1.035 pu;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;YnYn;0.00000;-0.00093;TPRETO-SP345 - TPRAT5-S 
79;TPRETO-SP069;80   #03;TPRET3-SP000;201;0;Trafo;0.00000;0.03545;550.0;550.0;354.0;1.00000;0.00;;;1.000 pu;1.000 pu;0.000 pu;0.000 pu;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;DYn;0.00000;0.03545;TPRETO-SP069 - TPRET3-S 
82;TPRET2-SP345;41514   #06;TPRAT6-SP000;204;0;OLTC(ON);0.00000;-0.00092;1500.0;1650.0;1500.0;1.03600;0.00;82;TPRET2-SP345;0.859 pu;1.115 pu;1.035 pu;1.035 pu;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;YnYn;0.00000;-0.00092;TPRET2-SP345 - TPRAT6-S 
82;TPRET2-SP345;41516   #07;TPRAT7-SP000;204;0;OLTC(ON);0.00000;-0.00058;1500.0;1800.0;1500.0;1.03600;0.00;82;TPRET2-SP345;0.859 pu;1.115 pu;1.035 pu;1.035 pu;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;YnYn;0.00000;-0.00058;TPRET2-SP345 - TPRAT7-S 
84;RESEN2-RJ138;42417   #01;RESEND-RJ000;255;0;Trafo;0.00004;-0.01667;300.0;360.0;300.0;1.00000;0.00;;;1.000 pu;1.000 pu;0.000 pu;0.000 pu;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;YnYn;0.00004;-0.01667;RESEN2-RJ138 - RESEND-R 
86;IBIUNA-SP345;48   #01;IBIUNASIN004;204;0;Trafo;0.00000;0.00715;1050.0;1050.0;1050.0;1.01300;0.00;;;1.013 pu;1.013 pu;0.000 pu;0.000 pu;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;YnD;0.00000;0.00715;IBIUNA-SP345 - IBIUNASI 
86;IBIUNA-SP345;41522   #01;IBITR1-SP000;204;0;OLTC(ON);0.00000;-0.00250;750.0;750.0;750.0;1.01800;0.00;122;IBIUNA-SP500;0.895 pu;1.048 pu;1.098 pu;1.098 pu;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;YnYn;0.00000;-0.00250;IBIUNA-SP345 - IBITR1-S 
86;IBIUNA-SP345;41524   #02;IBITR2-SP000;204;0;OLTC(ON);0.00000;-0.00254;750.0;750.0;750.0;1.01800;0.00;122;IBIUNA-SP500;0.895 pu;1.048 pu;1.098 pu;1.098 pu;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;YnYn;0.00000;-0.00254;IBIUNA-SP345 - IBITR2-S 
86;IBIUNA-SP345;41526   #03;IBITR3-SP000;204;0;OLTC(ON);0.00000;0.00236;750.0;900.0;750.0;1.01800;0.00;122;IBIUNA-SP500;0.895 pu;1.048 pu;1.098 pu;1.098 pu;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;YnYn;0.00000;0.00236;IBIUNA-SP345 - IBITR3-S 
87;RESEND-RJ500;42417   #01;RESEND-RJ000;251;0;OLTC(ON);0.00121;0.04833;300.0;360.0;300.0;1.04500;0.00;84;RESEN2-RJ138;0.900 pu;1.100 pu;1.048 pu;1.048 pu;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;YnYn;0.00121;0.04833;RESEND-RJ500 - RESEND-R 
87;RESEND-RJ500;42426   #01;ARCEL1-RJ000;251;0;Trafo;0.00000;0.08333;150.0;180.0;150.0;1.00000;0.00;;;1.000 pu;1.000 pu;0.000 pu;0.000 pu;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;YnYn;0.00000;0.08333;RESEND-RJ500 - ARCEL1-R 
