 sep=;
From#; From Name; To# - Circ#; To Name; Area; Type; MVA; % L1; L1(MVA); MW:From-To; Mvar:From-To; Power Factor:From-To; MW:To-From; Mvar:To-From; Power Factor:To-From; MW:Losses; Mvar:Losses; 
5465; RGOATR-PI000; 5430    # 01; RGONCA-PI230; 771; TRAFO; 26.6; 8.86; 300.0; -26.6; -0.5; -; 26.6; 0.4; 1.000 Cap; 0.0; -0.0; 
5465; RGOATR-PI000; 5464    # 01; RGOATR-PI013; 771; TRAFO; 0.0; 0.00; 2.0; 0.0; 0.0; -; 0.0; 0.0; -; 0.0; 0.0; 
5480; SOBRA3-CE500; 5370    # 06; PECEM2-CE500; 761; TL; 202.2; 7.90; 2560.0; -29.3; 60.6; -; 29.4; -200.0; 0.145 Ind; 0.0; -139.5; 
5480; SOBRA3-CE500; 5370    # 07; PECEM2-CE500; 761; TL; 199.4; 7.79; 2560.0; -29.6; 64.8; -; 29.6; -197.2; 0.149 Ind; 0.0; -132.4; 
5480; SOBRA3-CE500; 9516    # 03; SOBRALCER016; 761; TRAFO; 65.5; 26.20; 250.0; 0.0; 65.5; -; 0.0; -63.0; -; 0.0; 2.5; 
5480; SOBRA3-CE500; 42340    # 01; SBT-T1-CE000; 761; TRAFO; 41.2; 6.87; 600.0; 36.1; -19.9; 0.876 Ind; -36.1; 19.9; -; 0.0; -0.0; 
5480; SOBRA3-CE500; 42342    # 02; SBT-T2-CE000; 761; TRAFO; 39.7; 6.62; 600.0; 35.3; -18.2; 0.889 Ind; -35.3; 18.2; -; 0.0; -0.0; 
5491; PIRIPI-PI230; 5321    # 07; TRT----PI230; 772; TL; 33.6; 5.36; 627.0; 32.0; -10.3; 0.952 Ind; -31.9; -4.7; -; 0.1; -15.0; 
5491; PIRIPI-PI230; 5492    # 04; PIRIPI-PI138; 772; OLTC; 6.8; 12.39; 55.0; 6.5; 2.1; 0.949 Cap; -6.5; -2.1; -; 0.0; 0.1; 
5491; PIRIPI-PI230; 5492    # 05; PIRIPI-PI138; 772; OLTC; 6.7; 12.15; 55.0; 6.3; 2.1; 0.949 Cap; -6.3; -2.0; -; 0.0; 0.0; 
5491; PIRIPI-PI230; 5492    # 07; PIRIPI-PI138; 772; OLTC; 6.4; 11.66; 55.0; 6.1; 2.0; 0.949 Cap; -6.1; -2.0; -; 0.0; 0.0; 
5491; PIRIPI-PI230; 5493    # 02; PIRIPI-PI069; 772; OLTC; 23.6; 47.16; 50.0; 22.2; 7.8; 0.943 Cap; -22.2; -6.4; -; 0.0; 1.4; 
5491; PIRIPI-PI230; 5493    # 03; PIRIPI-PI069; 772; OLTC; 24.4; 48.71; 50.0; 23.0; 8.1; 0.943 Cap; -23.0; -6.7; -; 0.0; 1.4; 
5491; PIRIPI-PI230; 5499    # 01; PRIT1--PI000; 772; OLTC; 23.8; 47.58; 50.0; 22.4; 8.0; 0.941 Cap; -22.4; -6.5; -; 0.0; 1.5; 
5491; PIRIPI-PI230; 5501    # 01; TERESI-PI230; 772; TL; 28.8; 14.47; 199.0; 27.5; -8.4; 0.956 Ind; -27.3; -6.4; -; 0.2; -14.8; 
5493; PIRIPI-PI069; 5496    # 01; PRI----PI013; 773; TRAFO; 5.1; 101.63; 5.0; 4.7; 1.9; 0.930 Cap; -4.7; -1.6; -; 0.0; 0.3; 
5493; PIRIPI-PI069; 5496    # 02; PRI----PI013; 773; TRAFO; 8.0; 80.38; 10.0; 7.5; 3.0; 0.930 Cap; -7.5; -2.5; -; 0.0; 0.5; 
5493; PIRIPI-PI069; 5496    # 03; PRI----PI013; 773; TRAFO; 5.2; 103.24; 5.0; 4.8; 1.9; 0.930 Cap; -4.8; -1.6; -; 0.0; 0.3; 
5493; PIRIPI-PI069; 5499    # 01; PRIT1--PI000; 772; TRAFO; 23.4; 46.70; 50.0; -22.4; -6.6; -; 22.4; 6.5; 0.960 Cap; 0.0; -0.1; 
5494; PRIRLT-PI013; 5499    # 01; PRIT1--PI000; 772; TRAFO; 0.0; 0.00; 15.0; 0.0; 0.0; -; 0.0; 0.0; -; 0.0; 0.0; 
5500; TERES2-PI500; 5176    # 07; TIANGD-CE500; 771; TL; 29.6; 1.39; 2123.0; 14.2; 26.0; 0.480 Cap; -14.1; -19.3; -; 0.1; 6.7; 
5500; TERES2-PI500; 5176    # 09; TIANGD-CE500; 771; TL; 41.5; 1.95; 2123.0; 14.2; 39.0; 0.341 Cap; -14.1; -4.1; -; 0.1; 34.9; 
5500; TERES2-PI500; 44001    # 01; TSD-T1-PI000; 771; TRAFO; 113.0; 37.67; 300.0; 112.0; -11.4; 0.995 Ind; -112.0; 14.8; -; 0.0; 3.4; 
5500; TERES2-PI500; 44003    # 02; TSD-T2-PI000; 771; TRAFO; 111.7; 37.25; 300.0; 110.3; -14.7; 0.991 Ind; -110.3; 18.1; -; 0.0; 3.4; 
