 sep=;
Ctg ID; Bus; Bus Name; Area; Zone; VBase (kV); V BC (pu); V Ctg (pu); VSupE (pu); Diff BC V (pu); Viol (pu); 
NEWER1-BA500(44700) BARREI-BA500(6360) #1; 6641; CURRAL-PI230; 772; 1; 230.0; 1.040; 1.041; 1.050; 0.000; -0.009; 
NEWER1-BA500(44700) BARREI-BA500(6360) #1; 7257; VPII---PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; 0.000; -0.010; 
NEWER1-BA500(44700) BARREI-BA500(6360) #1; 7271; VPIII--PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; 0.000; -0.010; 
NEWER1-BA500(44700) BARREI-BA500(6360) #1; 8951; SGON-6-PI034; 771; 1; 34.5; 1.039; 1.040; 1.050; 0.001; -0.010; 
NEWER1-BA500(44700) BARREI-BA500(6360) #1; 7258; VPII---PI000; 772; 1; 991.0; 1.040; 1.040; 1.050; 0.000; -0.010; 
B.JESU-PI230(7181) E.MART-PI230(5681) #3; 44669; RSFRANUFV000; 771; 1; 34.5; 1.133; 1.133; 1.050; -0.000; 0.083; 
B.JESU-PI230(7181) E.MART-PI230(5681) #3; 44670; RSFRAN-PI034; 771; 1; 34.5; 1.129; 1.129; 1.050; -0.000; 0.079; 
B.JESU-PI230(7181) E.MART-PI230(5681) #3; 8766; SGON-5UFV048; 771; 1; 34.5; 1.041; 1.041; 1.050; 0.000; -0.009; 
B.JESU-PI230(7181) E.MART-PI230(5681) #3; 8767; SGON-5-PI034; 771; 1; 34.5; 1.041; 1.041; 1.050; -0.000; -0.009; 
B.JESU-PI230(7181) E.MART-PI230(5681) #3; 6705; CHAPNH-PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
B.JESU-PI230(7181) E.MART-PI230(5681) #3; 6641; CURRAL-PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
B.JESU-PI230(7181) E.MART-PI230(5681) #3; 7257; VPII---PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
B.JESU-PI230(7181) E.MART-PI230(5681) #3; 8950; SGON-6UFV072; 771; 1; 34.5; 1.040; 1.040; 1.050; 0.000; -0.010; 
B.JESU-PI230(7181) E.MART-PI230(5681) #3; 7271; VPIII--PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
B.JESU-PI230(7181) E.MART-PI230(5681) #3; 7258; VPII---PI000; 772; 1; 991.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
S.J.PI-PI500(5570) LDVENT-PI500(8198) #2; 44669; RSFRANUFV000; 771; 1; 34.5; 1.133; 1.133; 1.050; -0.000; 0.083; 
S.J.PI-PI500(5570) LDVENT-PI500(8198) #2; 44670; RSFRAN-PI034; 771; 1; 34.5; 1.129; 1.129; 1.050; -0.000; 0.079; 
S.J.PI-PI500(5570) LDVENT-PI500(8198) #2; 8767; SGON-5-PI034; 771; 1; 34.5; 1.041; 1.041; 1.050; 0.000; -0.009; 
S.J.PI-PI500(5570) LDVENT-PI500(8198) #2; 8766; SGON-5UFV048; 771; 1; 34.5; 1.041; 1.041; 1.050; 0.000; -0.009; 
S.J.PI-PI500(5570) LDVENT-PI500(8198) #2; 6705; CHAPNH-PI230; 772; 1; 230.0; 1.040; 1.041; 1.050; 0.000; -0.009; 
S.J.PI-PI500(5570) LDVENT-PI500(8198) #2; 6641; CURRAL-PI230; 772; 1; 230.0; 1.040; 1.041; 1.050; 0.000; -0.009; 
S.J.PI-PI500(5570) LDVENT-PI500(8198) #2; 7257; VPII---PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; 0.000; -0.010; 
S.J.PI-PI500(5570) LDVENT-PI500(8198) #2; 7271; VPIII--PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; 0.000; -0.010; 
S.J.PI-PI500(5570) LDVENT-PI500(8198) #2; 7258; VPII---PI000; 772; 1; 991.0; 1.040; 1.040; 1.050; 0.000; -0.010; 
S.J.PI-PI500(5570) LDVENT-PI500(8198) #2; 8950; SGON-6UFV072; 771; 1; 34.5; 1.040; 1.040; 1.050; 0.000; -0.010; 
GENDO2-BA500(6060) GOURO-CER030(9528) #1; 44669; RSFRANUFV000; 771; 1; 34.5; 1.133; 1.133; 1.050; -0.000; 0.083; 
GENDO2-BA500(6060) GOURO-CER030(9528) #1; 44670; RSFRAN-PI034; 771; 1; 34.5; 1.129; 1.129; 1.050; -0.000; 0.079; 
GENDO2-BA500(6060) GOURO-CER030(9528) #1; 8766; SGON-5UFV048; 771; 1; 34.5; 1.041; 1.041; 1.050; 0.000; -0.009; 
GENDO2-BA500(6060) GOURO-CER030(9528) #1; 8767; SGON-5-PI034; 771; 1; 34.5; 1.041; 1.041; 1.050; -0.000; -0.009; 
GENDO2-BA500(6060) GOURO-CER030(9528) #1; 6705; CHAPNH-PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
GENDO2-BA500(6060) GOURO-CER030(9528) #1; 6641; CURRAL-PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
GENDO2-BA500(6060) GOURO-CER030(9528) #1; 7257; VPII---PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
GENDO2-BA500(6060) GOURO-CER030(9528) #1; 8950; SGON-6UFV072; 771; 1; 34.5; 1.040; 1.040; 1.050; 0.000; -0.010; 
GENDO2-BA500(6060) GOURO-CER030(9528) #1; 7271; VPIII--PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
GENDO2-BA500(6060) GOURO-CER030(9528) #1; 7258; VPII---PI000; 772; 1; 991.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
GENDO2-BA500(6060) GOR-T1-BA000(42392) #1; 44669; RSFRANUFV000; 771; 1; 34.5; 1.133; 1.133; 1.050; 0.000; 0.083; 
GENDO2-BA500(6060) GOR-T1-BA000(42392) #1; 44670; RSFRAN-PI034; 771; 1; 34.5; 1.129; 1.129; 1.050; 0.000; 0.079; 
GENDO2-BA500(6060) GOR-T1-BA000(42392) #1; 8766; SGON-5UFV048; 771; 1; 34.5; 1.041; 1.041; 1.050; 0.000; -0.009; 
GENDO2-BA500(6060) GOR-T1-BA000(42392) #1; 8767; SGON-5-PI034; 771; 1; 34.5; 1.041; 1.041; 1.050; -0.000; -0.009; 
GENDO2-BA500(6060) GOR-T1-BA000(42392) #1; 6705; CHAPNH-PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
GENDO2-BA500(6060) GOR-T1-BA000(42392) #1; 6641; CURRAL-PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
GENDO2-BA500(6060) GOR-T1-BA000(42392) #1; 7257; VPII---PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
GENDO2-BA500(6060) GOR-T1-BA000(42392) #1; 7271; VPIII--PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
GENDO2-BA500(6060) GOR-T1-BA000(42392) #1; 8950; SGON-6UFV072; 771; 1; 34.5; 1.040; 1.040; 1.050; 0.000; -0.010; 
GENDO2-BA500(6060) GOR-T1-BA000(42392) #1; 7258; VPII---PI000; 772; 1; 991.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
MIRACE-TO500(7200) MI-GR1CAP500(7201) #1; 44669; RSFRANUFV000; 771; 1; 34.5; 1.133; 1.133; 1.050; -0.000; 0.083; 
MIRACE-TO500(7200) MI-GR1CAP500(7201) #1; 44670; RSFRAN-PI034; 771; 1; 34.5; 1.129; 1.129; 1.050; -0.000; 0.079; 
