 sep=;
Ctg ID; Bus; Bus Name; Area; Zone; VBase (kV); V BC (pu); V Ctg (pu); VInfE (pu); Diff BC V (pu); Viol (pu); 
GILBUE-PI230(7191) GID-T2-PI000(44037) #2; 5574; SJ-BEACAP500; 771; 1; 500.0; 1.005; 1.005; 0.950; -0.000; -0.055; 
GILBUE-PI230(7191) GID-T2-PI000(44037) #2; 7197; GB-BR-CAP500; 771; 1; 500.0; 1.008; 1.008; 0.950; -0.000; -0.058; 
GILBUE-PI230(7191) GID-T2-PI000(44037) #2; 6640; CURRAL-PI500; 771; 1; 500.0; 1.010; 1.010; 0.950; -0.000; -0.060; 
GILBUE-PI230(7191) GID-T2-PI000(44037) #2; 8338; OITIS--PI500; 771; 1; 500.0; 1.013; 1.013; 0.950; -0.000; -0.063; 
GILBUE-PI230(7191) GID-T2-PI000(44037) #2; 5699; LVENT3-PI500; 771; 1; 500.0; 1.013; 1.013; 0.950; -0.000; -0.063; 
GILBUE-PI230(7191) GID-T2-PI000(44037) #2; 5325; QUEIMA-PI500; 771; 1; 500.0; 1.013; 1.013; 0.950; -0.000; -0.063; 
GILBUE-PI230(7191) GID-T2-PI000(44037) #2; 5451; FTZ2---CE500; 761; 1; 500.0; 1.019; 1.019; 0.950; -0.000; -0.069; 
GILBUE-PI230(7191) GID-T2-PI000(44037) #2; 5924; JAGUAD-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; 0.000; -0.073; 
GILBUE-PI230(7191) GID-T2-PI000(44037) #2; 5841; PACABA-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; -0.000; -0.073; 
BARREI-BA500(6360) SERSOL-BA500(44601) #1; 5572; SJ-SB1CAP500; 771; 1; 500.0; 1.005; 1.004; 0.950; -0.001; -0.054; 
BARREI-BA500(6360) SERSOL-BA500(44601) #1; 5574; SJ-BEACAP500; 771; 1; 500.0; 1.005; 1.005; 0.950; -0.000; -0.055; 
BARREI-BA500(6360) SERSOL-BA500(44601) #1; 7197; GB-BR-CAP500; 771; 1; 500.0; 1.008; 1.007; 0.950; -0.001; -0.057; 
BARREI-BA500(6360) SERSOL-BA500(44601) #1; 6640; CURRAL-PI500; 771; 1; 500.0; 1.010; 1.010; 0.950; -0.000; -0.060; 
BARREI-BA500(6360) SERSOL-BA500(44601) #1; 8338; OITIS--PI500; 771; 1; 500.0; 1.013; 1.012; 0.950; -0.000; -0.062; 
BARREI-BA500(6360) SERSOL-BA500(44601) #1; 5699; LVENT3-PI500; 771; 1; 500.0; 1.013; 1.012; 0.950; -0.000; -0.062; 
BARREI-BA500(6360) SERSOL-BA500(44601) #1; 5325; QUEIMA-PI500; 771; 1; 500.0; 1.013; 1.012; 0.950; -0.000; -0.062; 
BARREI-BA500(6360) SERSOL-BA500(44601) #1; 5451; FTZ2---CE500; 761; 1; 500.0; 1.019; 1.019; 0.950; -0.000; -0.069; 
BARREI-BA500(6360) SERSOL-BA500(44601) #1; 5924; JAGUAD-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; 0.000; -0.073; 
BARREI-BA500(6360) SERSOL-BA500(44601) #1; 5841; PACABA-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; -0.000; -0.073; 
GILBUE-PI069(7193) GID-T2-PI000(44037) #2; 5572; SJ-SB1CAP500; 771; 1; 500.0; 1.005; 1.005; 0.950; -0.000; -0.055; 
GILBUE-PI069(7193) GID-T2-PI000(44037) #2; 5574; SJ-BEACAP500; 771; 1; 500.0; 1.005; 1.005; 0.950; -0.000; -0.055; 
GILBUE-PI069(7193) GID-T2-PI000(44037) #2; 7197; GB-BR-CAP500; 771; 1; 500.0; 1.008; 1.008; 0.950; -0.000; -0.058; 
GILBUE-PI069(7193) GID-T2-PI000(44037) #2; 6640; CURRAL-PI500; 771; 1; 500.0; 1.010; 1.010; 0.950; -0.000; -0.060; 
GILBUE-PI069(7193) GID-T2-PI000(44037) #2; 8338; OITIS--PI500; 771; 1; 500.0; 1.013; 1.013; 0.950; -0.000; -0.063; 
GILBUE-PI069(7193) GID-T2-PI000(44037) #2; 5699; LVENT3-PI500; 771; 1; 500.0; 1.013; 1.013; 0.950; -0.000; -0.063; 
GILBUE-PI069(7193) GID-T2-PI000(44037) #2; 5325; QUEIMA-PI500; 771; 1; 500.0; 1.013; 1.013; 0.950; -0.000; -0.063; 
GILBUE-PI069(7193) GID-T2-PI000(44037) #2; 5451; FTZ2---CE500; 761; 1; 500.0; 1.019; 1.019; 0.950; -0.000; -0.069; 
GILBUE-PI069(7193) GID-T2-PI000(44037) #2; 5924; JAGUAD-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; 0.000; -0.073; 
GILBUE-PI069(7193) GID-T2-PI000(44037) #2; 5841; PACABA-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; -0.000; -0.073; 
MIRACE-TO500(7200) CO-MI1CAP500(7301) #1; 5572; SJ-SB1CAP500; 771; 1; 500.0; 1.005; 1.001; 0.950; -0.004; -0.051; 
MIRACE-TO500(7200) CO-MI1CAP500(7301) #1; 5574; SJ-BEACAP500; 771; 1; 500.0; 1.005; 1.005; 0.950; -0.000; -0.055; 
MIRACE-TO500(7200) CO-MI1CAP500(7301) #1; 7197; GB-BR-CAP500; 771; 1; 500.0; 1.008; 1.007; 0.950; -0.001; -0.057; 
MIRACE-TO500(7200) CO-MI1CAP500(7301) #1; 6640; CURRAL-PI500; 771; 1; 500.0; 1.010; 1.010; 0.950; -0.000; -0.060; 
MIRACE-TO500(7200) CO-MI1CAP500(7301) #1; 8338; OITIS--PI500; 771; 1; 500.0; 1.013; 1.012; 0.950; -0.000; -0.062; 
MIRACE-TO500(7200) CO-MI1CAP500(7301) #1; 5699; LVENT3-PI500; 771; 1; 500.0; 1.013; 1.012; 0.950; -0.000; -0.062; 
MIRACE-TO500(7200) CO-MI1CAP500(7301) #1; 5325; QUEIMA-PI500; 771; 1; 500.0; 1.013; 1.012; 0.950; -0.000; -0.062; 
MIRACE-TO500(7200) CO-MI1CAP500(7301) #1; 5451; FTZ2---CE500; 761; 1; 500.0; 1.019; 1.019; 0.950; 0.000; -0.069; 
MIRACE-TO500(7200) CO-MI1CAP500(7301) #1; 5506; TSAT2--PI013; 773; 1; 13.8; 0.974; 0.973; 0.900; -0.001; -0.073; 
MIRACE-TO500(7200) CO-MI1CAP500(7301) #1; 5924; JAGUAD-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; 0.000; -0.073; 
ALTITU-BA500(9478) ALTITU-BA230(9479) #1; 5572; SJ-SB1CAP500; 771; 1; 500.0; 1.005; 1.004; 0.950; -0.001; -0.054; 
ALTITU-BA500(9478) ALTITU-BA230(9479) #1; 5574; SJ-BEACAP500; 771; 1; 500.0; 1.005; 1.006; 0.950; 0.001; -0.056; 
ALTITU-BA500(9478) ALTITU-BA230(9479) #1; 7197; GB-BR-CAP500; 771; 1; 500.0; 1.008; 1.007; 0.950; -0.001; -0.057; 
ALTITU-BA500(9478) ALTITU-BA230(9479) #1; 6640; CURRAL-PI500; 771; 1; 500.0; 1.010; 1.010; 0.950; -0.000; -0.060; 
ALTITU-BA500(9478) ALTITU-BA230(9479) #1; 8338; OITIS--PI500; 771; 1; 500.0; 1.013; 1.012; 0.950; -0.000; -0.062; 
ALTITU-BA500(9478) ALTITU-BA230(9479) #1; 5699; LVENT3-PI500; 771; 1; 500.0; 1.013; 1.012; 0.950; -0.000; -0.062; 
ALTITU-BA500(9478) ALTITU-BA230(9479) #1; 5325; QUEIMA-PI500; 771; 1; 500.0; 1.013; 1.012; 0.950; -0.000; -0.062; 
ALTITU-BA500(9478) ALTITU-BA230(9479) #1; 5451; FTZ2---CE500; 761; 1; 500.0; 1.019; 1.020; 0.950; 0.000; -0.070; 
ALTITU-BA500(9478) ALTITU-BA230(9479) #1; 5924; JAGUAD-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; 0.000; -0.073; 
ALTITU-BA500(9478) ALTITU-BA230(9479) #1; 5841; PACABA-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; 0.000; -0.073; 
BARREI-BA500(6360) BRD-T2-BA000(44138) #2; 5572; SJ-SB1CAP500; 771; 1; 500.0; 1.005; 1.005; 0.950; 0.000; -0.055; 
BARREI-BA500(6360) BRD-T2-BA000(44138) #2; 5574; SJ-BEACAP500; 771; 1; 500.0; 1.005; 1.005; 0.950; -0.000; -0.055; 
BARREI-BA500(6360) BRD-T2-BA000(44138) #2; 7197; GB-BR-CAP500; 771; 1; 500.0; 1.008; 1.008; 0.950; 0.000; -0.058; 
BARREI-BA500(6360) BRD-T2-BA000(44138) #2; 6640; CURRAL-PI500; 771; 1; 500.0; 1.010; 1.010; 0.950; 0.000; -0.060; 
BARREI-BA500(6360) BRD-T2-BA000(44138) #2; 8338; OITIS--PI500; 771; 1; 500.0; 1.013; 1.013; 0.950; 0.000; -0.063; 
BARREI-BA500(6360) BRD-T2-BA000(44138) #2; 5699; LVENT3-PI500; 771; 1; 500.0; 1.013; 1.013; 0.950; 0.000; -0.063; 
BARREI-BA500(6360) BRD-T2-BA000(44138) #2; 5325; QUEIMA-PI500; 771; 1; 500.0; 1.013; 1.013; 0.950; 0.000; -0.063; 
BARREI-BA500(6360) BRD-T2-BA000(44138) #2; 5451; FTZ2---CE500; 761; 1; 500.0; 1.019; 1.019; 0.950; -0.000; -0.069; 
BARREI-BA500(6360) BRD-T2-BA000(44138) #2; 5924; JAGUAD-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; 0.000; -0.073; 
BARREI-BA500(6360) BRD-T2-BA000(44138) #2; 5841; PACABA-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; -0.000; -0.073; 
S.GONC-PI500(8188) SGT3-1-PI000(8952) #3; 5572; SJ-SB1CAP500; 771; 1; 500.0; 1.005; 1.004; 0.950; -0.001; -0.054; 
S.GONC-PI500(8188) SGT3-1-PI000(8952) #3; 5574; SJ-BEACAP500; 771; 1; 500.0; 1.005; 1.005; 0.950; -0.000; -0.055; 
S.GONC-PI500(8188) SGT3-1-PI000(8952) #3; 7197; GB-BR-CAP500; 771; 1; 500.0; 1.008; 1.005; 0.950; -0.003; -0.055; 
S.GONC-PI500(8188) SGT3-1-PI000(8952) #3; 6640; CURRAL-PI500; 771; 1; 500.0; 1.010; 1.010; 0.950; -0.000; -0.060; 
S.GONC-PI500(8188) SGT3-1-PI000(8952) #3; 8338; OITIS--PI500; 771; 1; 500.0; 1.013; 1.012; 0.950; -0.000; -0.062; 
S.GONC-PI500(8188) SGT3-1-PI000(8952) #3; 5699; LVENT3-PI500; 771; 1; 500.0; 1.013; 1.012; 0.950; -0.000; -0.062; 
S.GONC-PI500(8188) SGT3-1-PI000(8952) #3; 5325; QUEIMA-PI500; 771; 1; 500.0; 1.013; 1.012; 0.950; -0.000; -0.062; 
S.GONC-PI500(8188) SGT3-1-PI000(8952) #3; 5451; FTZ2---CE500; 761; 1; 500.0; 1.019; 1.019; 0.950; -0.000; -0.069; 
S.GONC-PI500(8188) SGT3-1-PI000(8952) #3; 5924; JAGUAD-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; 0.000; -0.073; 
S.GONC-PI500(8188) SGT3-1-PI000(8952) #3; 5841; PACABA-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; -0.000; -0.073; 
MIRACE-TO500(7200) GILBU2-PI500(7190) #3; 7197; GB-BR-CAP500; 771; 1; 500.0; 1.008; 0.984; 0.950; -0.023; -0.034; 
MIRACE-TO500(7200) GILBU2-PI500(7190) #3; 5572; SJ-SB1CAP500; 771; 1; 500.0; 1.005; 0.998; 0.950; -0.006; -0.048; 
MIRACE-TO500(7200) GILBU2-PI500(7190) #3; 5574; SJ-BEACAP500; 771; 1; 500.0; 1.005; 1.005; 0.950; -0.001; -0.055; 
MIRACE-TO500(7200) GILBU2-PI500(7190) #3; 6640; CURRAL-PI500; 771; 1; 500.0; 1.010; 1.009; 0.950; -0.001; -0.059; 
MIRACE-TO500(7200) GILBU2-PI500(7190) #3; 8338; OITIS--PI500; 771; 1; 500.0; 1.013; 1.011; 0.950; -0.002; -0.061; 
MIRACE-TO500(7200) GILBU2-PI500(7190) #3; 5699; LVENT3-PI500; 771; 1; 500.0; 1.013; 1.011; 0.950; -0.002; -0.061; 
MIRACE-TO500(7200) GILBU2-PI500(7190) #3; 5325; QUEIMA-PI500; 771; 1; 500.0; 1.013; 1.011; 0.950; -0.002; -0.061; 
MIRACE-TO500(7200) GILBU2-PI500(7190) #3; 7190; GILBU2-PI500; 771; 1; 500.0; 1.028; 1.014; 0.950; -0.014; -0.064; 
MIRACE-TO500(7200) GILBU2-PI500(7190) #3; 8188; S.GONC-PI500; 771; 1; 500.0; 1.031; 1.018; 0.950; -0.013; -0.068; 
MIRACE-TO500(7200) GILBU2-PI500(7190) #3; 5451; FTZ2---CE500; 761; 1; 500.0; 1.019; 1.019; 0.950; 0.000; -0.069; 
GILBU2-PI500(7190) GILBUE-PI230(7191) #1; 5572; SJ-SB1CAP500; 771; 1; 500.0; 1.005; 1.004; 0.950; -0.000; -0.054; 
GILBU2-PI500(7190) GILBUE-PI230(7191) #1; 5574; SJ-BEACAP500; 771; 1; 500.0; 1.005; 1.005; 0.950; -0.000; -0.055; 
GILBU2-PI500(7190) GILBUE-PI230(7191) #1; 7197; GB-BR-CAP500; 771; 1; 500.0; 1.008; 1.006; 0.950; -0.002; -0.056; 
GILBU2-PI500(7190) GILBUE-PI230(7191) #1; 6640; CURRAL-PI500; 771; 1; 500.0; 1.010; 1.010; 0.950; -0.000; -0.060; 
GILBU2-PI500(7190) GILBUE-PI230(7191) #1; 8338; OITIS--PI500; 771; 1; 500.0; 1.013; 1.012; 0.950; -0.000; -0.062; 
GILBU2-PI500(7190) GILBUE-PI230(7191) #1; 5699; LVENT3-PI500; 771; 1; 500.0; 1.013; 1.012; 0.950; -0.000; -0.062; 
GILBU2-PI500(7190) GILBUE-PI230(7191) #1; 5325; QUEIMA-PI500; 771; 1; 500.0; 1.013; 1.012; 0.950; -0.000; -0.062; 
GILBU2-PI500(7190) GILBUE-PI230(7191) #1; 5451; FTZ2---CE500; 761; 1; 500.0; 1.019; 1.019; 0.950; -0.000; -0.069; 
GILBU2-PI500(7190) GILBUE-PI230(7191) #1; 5924; JAGUAD-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; 0.000; -0.073; 
GILBU2-PI500(7190) GILBUE-PI230(7191) #1; 5841; PACABA-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; -0.000; -0.073; 
BARREI-BA500(6360) BURITI-BA500(6075) #6; 5572; SJ-SB1CAP500; 771; 1; 500.0; 1.005; 1.003; 0.950; -0.001; -0.053; 
BARREI-BA500(6360) BURITI-BA500(6075) #6; 5574; SJ-BEACAP500; 771; 1; 500.0; 1.005; 1.004; 0.950; -0.001; -0.054; 
BARREI-BA500(6360) BURITI-BA500(6075) #6; 7197; GB-BR-CAP500; 771; 1; 500.0; 1.008; 1.005; 0.950; -0.002; -0.055; 
BARREI-BA500(6360) BURITI-BA500(6075) #6; 6640; CURRAL-PI500; 771; 1; 500.0; 1.010; 1.010; 0.950; -0.001; -0.060; 
BARREI-BA500(6360) BURITI-BA500(6075) #6; 8338; OITIS--PI500; 771; 1; 500.0; 1.013; 1.011; 0.950; -0.001; -0.061; 
BARREI-BA500(6360) BURITI-BA500(6075) #6; 5699; LVENT3-PI500; 771; 1; 500.0; 1.013; 1.011; 0.950; -0.001; -0.061; 
BARREI-BA500(6360) BURITI-BA500(6075) #6; 5325; QUEIMA-PI500; 771; 1; 500.0; 1.013; 1.011; 0.950; -0.001; -0.061; 
BARREI-BA500(6360) BURITI-BA500(6075) #6; 5451; FTZ2---CE500; 761; 1; 500.0; 1.019; 1.019; 0.950; -0.000; -0.069; 
BARREI-BA500(6360) BURITI-BA500(6075) #6; 5924; JAGUAD-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; 0.000; -0.073; 
BARREI-BA500(6360) BURITI-BA500(6075) #6; 5841; PACABA-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; -0.000; -0.073; 
CO-MI3CAP500(7305) MIRACE-TO500(7200) #3; 5572; SJ-SB1CAP500; 771; 1; 500.0; 1.005; 1.001; 0.950; -0.004; -0.051; 
CO-MI3CAP500(7305) MIRACE-TO500(7200) #3; 5574; SJ-BEACAP500; 771; 1; 500.0; 1.005; 1.005; 0.950; -0.000; -0.055; 
CO-MI3CAP500(7305) MIRACE-TO500(7200) #3; 7197; GB-BR-CAP500; 771; 1; 500.0; 1.008; 1.007; 0.950; -0.001; -0.057; 
CO-MI3CAP500(7305) MIRACE-TO500(7200) #3; 6640; CURRAL-PI500; 771; 1; 500.0; 1.010; 1.010; 0.950; -0.000; -0.060; 
CO-MI3CAP500(7305) MIRACE-TO500(7200) #3; 8338; OITIS--PI500; 771; 1; 500.0; 1.013; 1.012; 0.950; -0.000; -0.062; 
CO-MI3CAP500(7305) MIRACE-TO500(7200) #3; 5699; LVENT3-PI500; 771; 1; 500.0; 1.013; 1.012; 0.950; -0.000; -0.062; 
CO-MI3CAP500(7305) MIRACE-TO500(7200) #3; 5325; QUEIMA-PI500; 771; 1; 500.0; 1.013; 1.012; 0.950; -0.000; -0.062; 
CO-MI3CAP500(7305) MIRACE-TO500(7200) #3; 5451; FTZ2---CE500; 761; 1; 500.0; 1.019; 1.019; 0.950; 0.000; -0.069; 
CO-MI3CAP500(7305) MIRACE-TO500(7200) #3; 5506; TSAT2--PI013; 773; 1; 13.8; 0.974; 0.973; 0.900; -0.001; -0.073; 
CO-MI3CAP500(7305) MIRACE-TO500(7200) #3; 5924; JAGUAD-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; 0.000; -0.073; 
BARREI-BA500(6360) BRREC2CAP500(6443) #2; 5572; SJ-SB1CAP500; 771; 1; 500.0; 1.005; 1.004; 0.950; -0.000; -0.054; 
BARREI-BA500(6360) BRREC2CAP500(6443) #2; 5574; SJ-BEACAP500; 771; 1; 500.0; 1.005; 1.005; 0.950; -0.000; -0.055; 
BARREI-BA500(6360) BRREC2CAP500(6443) #2; 7197; GB-BR-CAP500; 771; 1; 500.0; 1.008; 1.008; 0.950; -0.000; -0.058; 
BARREI-BA500(6360) BRREC2CAP500(6443) #2; 6640; CURRAL-PI500; 771; 1; 500.0; 1.010; 1.010; 0.950; -0.000; -0.060; 
BARREI-BA500(6360) BRREC2CAP500(6443) #2; 8338; OITIS--PI500; 771; 1; 500.0; 1.013; 1.012; 0.950; -0.000; -0.062; 
BARREI-BA500(6360) BRREC2CAP500(6443) #2; 5699; LVENT3-PI500; 771; 1; 500.0; 1.013; 1.012; 0.950; -0.000; -0.062; 
BARREI-BA500(6360) BRREC2CAP500(6443) #2; 5325; QUEIMA-PI500; 771; 1; 500.0; 1.013; 1.012; 0.950; -0.000; -0.062; 
BARREI-BA500(6360) BRREC2CAP500(6443) #2; 5451; FTZ2---CE500; 761; 1; 500.0; 1.019; 1.019; 0.950; -0.000; -0.069; 
BARREI-BA500(6360) BRREC2CAP500(6443) #2; 5924; JAGUAD-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; 0.000; -0.073; 
BARREI-BA500(6360) BRREC2CAP500(6443) #2; 5841; PACABA-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; -0.000; -0.073; 
BURITI-BA500(6075) QUEIMA-PI500(5325) #2; 5699; LVENT3-PI500; 771; 1; 500.0; 1.013; 1.001; 0.950; -0.011; -0.051; 
BURITI-BA500(6075) QUEIMA-PI500(5325) #2; 8338; OITIS--PI500; 771; 1; 500.0; 1.013; 1.001; 0.950; -0.011; -0.051; 
BURITI-BA500(6075) QUEIMA-PI500(5325) #2; 5325; QUEIMA-PI500; 771; 1; 500.0; 1.013; 1.001; 0.950; -0.011; -0.051; 
BURITI-BA500(6075) QUEIMA-PI500(5325) #2; 5572; SJ-SB1CAP500; 771; 1; 500.0; 1.005; 1.002; 0.950; -0.003; -0.052; 
BURITI-BA500(6075) QUEIMA-PI500(5325) #2; 5574; SJ-BEACAP500; 771; 1; 500.0; 1.005; 1.003; 0.950; -0.002; -0.053; 
BURITI-BA500(6075) QUEIMA-PI500(5325) #2; 7197; GB-BR-CAP500; 771; 1; 500.0; 1.008; 1.004; 0.950; -0.004; -0.054; 
BURITI-BA500(6075) QUEIMA-PI500(5325) #2; 6640; CURRAL-PI500; 771; 1; 500.0; 1.010; 1.005; 0.950; -0.006; -0.055; 
BURITI-BA500(6075) QUEIMA-PI500(5325) #2; 5451; FTZ2---CE500; 761; 1; 500.0; 1.019; 1.019; 0.950; -0.000; -0.069; 
BURITI-BA500(6075) QUEIMA-PI500(5325) #2; 5841; PACABA-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; -0.000; -0.073; 
BURITI-BA500(6075) QUEIMA-PI500(5325) #2; 5924; JAGUAD-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; 0.000; -0.073; 
SGT3-1-PI000(8952) SGT3-2-PI000(8953) #3; 5572; SJ-SB1CAP500; 771; 1; 500.0; 1.005; 1.005; 0.950; -0.000; -0.055; 
SGT3-1-PI000(8952) SGT3-2-PI000(8953) #3; 5574; SJ-BEACAP500; 771; 1; 500.0; 1.005; 1.005; 0.950; -0.000; -0.055; 
SGT3-1-PI000(8952) SGT3-2-PI000(8953) #3; 7197; GB-BR-CAP500; 771; 1; 500.0; 1.008; 1.007; 0.950; -0.000; -0.057; 
SGT3-1-PI000(8952) SGT3-2-PI000(8953) #3; 6640; CURRAL-PI500; 771; 1; 500.0; 1.010; 1.010; 0.950; -0.000; -0.060; 
SGT3-1-PI000(8952) SGT3-2-PI000(8953) #3; 8338; OITIS--PI500; 771; 1; 500.0; 1.013; 1.013; 0.950; -0.000; -0.063; 
SGT3-1-PI000(8952) SGT3-2-PI000(8953) #3; 5699; LVENT3-PI500; 771; 1; 500.0; 1.013; 1.013; 0.950; -0.000; -0.063; 
SGT3-1-PI000(8952) SGT3-2-PI000(8953) #3; 5325; QUEIMA-PI500; 771; 1; 500.0; 1.013; 1.013; 0.950; -0.000; -0.063; 
SGT3-1-PI000(8952) SGT3-2-PI000(8953) #3; 5451; FTZ2---CE500; 761; 1; 500.0; 1.019; 1.019; 0.950; -0.000; -0.069; 
SGT3-1-PI000(8952) SGT3-2-PI000(8953) #3; 5924; JAGUAD-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; 0.000; -0.073; 
SGT3-1-PI000(8952) SGT3-2-PI000(8953) #3; 5841; PACABA-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; -0.000; -0.073; 
MIRACE-TO500(7200) CO-MI2CAP500(7303) #2; 5572; SJ-SB1CAP500; 771; 1; 500.0; 1.005; 1.001; 0.950; -0.004; -0.051; 
MIRACE-TO500(7200) CO-MI2CAP500(7303) #2; 5574; SJ-BEACAP500; 771; 1; 500.0; 1.005; 1.005; 0.950; -0.000; -0.055; 
MIRACE-TO500(7200) CO-MI2CAP500(7303) #2; 7197; GB-BR-CAP500; 771; 1; 500.0; 1.008; 1.007; 0.950; -0.001; -0.057; 
MIRACE-TO500(7200) CO-MI2CAP500(7303) #2; 6640; CURRAL-PI500; 771; 1; 500.0; 1.010; 1.010; 0.950; -0.000; -0.060; 
MIRACE-TO500(7200) CO-MI2CAP500(7303) #2; 8338; OITIS--PI500; 771; 1; 500.0; 1.013; 1.012; 0.950; -0.000; -0.062; 
MIRACE-TO500(7200) CO-MI2CAP500(7303) #2; 5699; LVENT3-PI500; 771; 1; 500.0; 1.013; 1.012; 0.950; -0.000; -0.062; 
MIRACE-TO500(7200) CO-MI2CAP500(7303) #2; 5325; QUEIMA-PI500; 771; 1; 500.0; 1.013; 1.012; 0.950; -0.000; -0.062; 
MIRACE-TO500(7200) CO-MI2CAP500(7303) #2; 5451; FTZ2---CE500; 761; 1; 500.0; 1.019; 1.019; 0.950; 0.000; -0.069; 
MIRACE-TO500(7200) CO-MI2CAP500(7303) #2; 5506; TSAT2--PI013; 773; 1; 13.8; 0.974; 0.973; 0.900; -0.001; -0.073; 
MIRACE-TO500(7200) CO-MI2CAP500(7303) #2; 5924; JAGUAD-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; 0.000; -0.073; 
MIRACE-TO500(7200) MIRACE-TO000(7208) #1; 5572; SJ-SB1CAP500; 771; 1; 500.0; 1.005; 1.005; 0.950; 0.000; -0.055; 
MIRACE-TO500(7200) MIRACE-TO000(7208) #1; 5574; SJ-BEACAP500; 771; 1; 500.0; 1.005; 1.005; 0.950; -0.000; -0.055; 
MIRACE-TO500(7200) MIRACE-TO000(7208) #1; 7197; GB-BR-CAP500; 771; 1; 500.0; 1.008; 1.008; 0.950; 0.000; -0.058; 
MIRACE-TO500(7200) MIRACE-TO000(7208) #1; 6640; CURRAL-PI500; 771; 1; 500.0; 1.010; 1.010; 0.950; 0.000; -0.060; 
MIRACE-TO500(7200) MIRACE-TO000(7208) #1; 8338; OITIS--PI500; 771; 1; 500.0; 1.013; 1.013; 0.950; 0.000; -0.063; 
MIRACE-TO500(7200) MIRACE-TO000(7208) #1; 5699; LVENT3-PI500; 771; 1; 500.0; 1.013; 1.013; 0.950; 0.000; -0.063; 
MIRACE-TO500(7200) MIRACE-TO000(7208) #1; 5325; QUEIMA-PI500; 771; 1; 500.0; 1.013; 1.013; 0.950; 0.000; -0.063; 
MIRACE-TO500(7200) MIRACE-TO000(7208) #1; 5451; FTZ2---CE500; 761; 1; 500.0; 1.019; 1.019; 0.950; -0.000; -0.069; 
MIRACE-TO500(7200) MIRACE-TO000(7208) #1; 5924; JAGUAD-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; 0.000; -0.073; 
MIRACE-TO500(7200) MIRACE-TO000(7208) #1; 5841; PACABA-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; -0.000; -0.073; 
MIRACEPCH138(7202) MIRACE-TO000(7208) #1; 5572; SJ-SB1CAP500; 771; 1; 500.0; 1.005; 1.005; 0.950; 0.000; -0.055; 
MIRACEPCH138(7202) MIRACE-TO000(7208) #1; 5574; SJ-BEACAP500; 771; 1; 500.0; 1.005; 1.005; 0.950; -0.000; -0.055; 
MIRACEPCH138(7202) MIRACE-TO000(7208) #1; 7197; GB-BR-CAP500; 771; 1; 500.0; 1.008; 1.008; 0.950; 0.000; -0.058; 
MIRACEPCH138(7202) MIRACE-TO000(7208) #1; 6640; CURRAL-PI500; 771; 1; 500.0; 1.010; 1.010; 0.950; 0.000; -0.060; 
MIRACEPCH138(7202) MIRACE-TO000(7208) #1; 8338; OITIS--PI500; 771; 1; 500.0; 1.013; 1.013; 0.950; 0.000; -0.063; 
MIRACEPCH138(7202) MIRACE-TO000(7208) #1; 5699; LVENT3-PI500; 771; 1; 500.0; 1.013; 1.013; 0.950; 0.000; -0.063; 
MIRACEPCH138(7202) MIRACE-TO000(7208) #1; 5325; QUEIMA-PI500; 771; 1; 500.0; 1.013; 1.013; 0.950; 0.000; -0.063; 
MIRACEPCH138(7202) MIRACE-TO000(7208) #1; 5451; FTZ2---CE500; 761; 1; 500.0; 1.019; 1.019; 0.950; -0.000; -0.069; 
MIRACEPCH138(7202) MIRACE-TO000(7208) #1; 5924; JAGUAD-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; 0.000; -0.073; 
MIRACEPCH138(7202) MIRACE-TO000(7208) #1; 5841; PACABA-CE500; 761; 1; 500.0; 1.023; 1.023; 0.950; -0.000; -0.073; 
MIRACE-TO013(7205) MIRACE-TO000(7208) #1; 5572; SJ-SB1CAP500; 771; 1; 500.0; 1.005; 1.005; 0.950; -0.000; -0.055; 
